FilePath,DebugSize,ImageVersion,IatRVA,ExportSize,ResourceSize,VirtualSize2,NumberOfSections,CheckSum,DLLCharacteristics,SizeOfInitializedData,SizeOfStackReserve,Label
LoadOrd.exe,0,0.0,30096,0,1976,3780,4,188005,0,155648,1048576,clean
LocationNotifications.exe,28,6.1,13748,0,73760,992,4,142791,33088,76800,262144,clean
Locator.exe,28,6.1,6876,0,2008,944,4,33641,33088,3584,262144,clean
lodctr.exe,28,6.1,37880,0,2032,2804,4,43244,33088,7680,262144,clean
logagent.exe,28,6.1,82096,0,2936,2376,4,122344,33088,13312,262144,clean
logger.exe,28,6.3,20776,0,3368,3120,5,78430,49472,10240,262144,clean
logman.exe,28,6.1,66636,0,2056,8232,4,125853,33088,16896,262144,clean
logoff.exe,28,6.1,17860,0,2048,6612,4,41603,33088,10240,262144,clean
logonsessions.exe,0,0.0,119096,0,65256,35806,5,245089,33088,120320,1048576,clean
LogonUI.exe,56,6.1,8208,0,2328,880,4,45133,33088,4096,262144,clean
logviewer.exe,28,6.3,262928,0,38112,152300,5,200971,49472,202240,262144,clean
lpksetup.exe,28,6.1,335892,0,113904,19836,4,525117,33088,156160,262144,clean
lpq.exe,28,6.1,7100,0,2056,896,4,35942,33088,4096,262144,clean
lpr.exe,28,6.1,7916,0,2056,5560,4,60417,33088,8704,262144,clean
lpremove.exe,28,6.1,51852,0,2112,1384,4,120235,33088,10752,262144,clean
lsass.exe,56,6.1,17528,107,1792,972,4,24979,33088,4096,262144,clean
lsm.exe,56,6.1,232000,0,6376,12508,4,282187,33088,30720,262144,clean
mage.exe,28,0.0,79872,0,31112,31112,3,163922,34144,31744,1048576,clean
mageui.exe,28,0.0,702932,0,12120,12120,3,754975,34144,12800,1048576,clean
Magnify.exe,28,6.1,86884,0,525744,2664,4,674852,33088,536064,262144,clean
Mahjong.exe,28,6.1,513812,0,97112,53076,4,709880,33088,185344,262144,clean
